Image_Name,M1_Class,M1_Prob,M2_Class,M2_Prob,M3_Class,M3_Prob,M4_Class,M4_Prob,M5_Class,M5_Prob,Ensemble_Class,Ensemble_Prob
test_00001.png,1,0.5621,2,0.3822,1,0.5660,1,0.3292,3,0.5615,3,0.3691
test_00002.png,0,0.9164,0,0.4156,3,0.5020,0,0.4096,0,0.6839,0,0.5427
test_00003.png,0,0.8322,0,0.4783,0,0.4871,0,0.6105,0,0.8745,0,0.7110
test_00004.png,0,0.9773,0,0.5602,0,0.9164,0,0.9060,0,0.9109,0,0.9169
test_00005.png,0,0.9652,0,0.5627,0,0.8493,0,0.7336,0,0.7363,0,0.8204
test_00006.png,4,0.7258,2,0.6589,4,0.5514,2,0.7240,2,0.6387,2,0.5423
test_00007.png,3,0.7317,3,0.7538,3,0.5331,0,0.4988,3,0.5857,3,0.6295
test_00008.png,0,0.9865,0,0.9468,0,0.8853,0,0.9716,0,0.9600,0,0.9630
test_00009.png,0,0.8712,0,0.3587,0,0.5158,2,0.4723,0,0.8556,0,0.6794
test_00010.png,1,0.9666,1,0.5208,1,0.6027,1,0.8964,1,0.5598,1,0.8149
test_00011.png,3,0.6810,3,0.4708,3,0.4580,3,0.4947,3,0.6031,3,0.5904
test_00012.png,0,0.9725,0,0.4832,0,0.7745,0,0.9224,0,0.9156,0,0.8783
test_00013.png,4,0.6023,2,0.3455,4,0.3179,1,0.4931,3,0.3371,4,0.3055
test_00014.png,2,0.6175,3,0.4311,3,0.5971,3,0.6369,3,0.7371,3,0.5627
test_00015.png,3,0.4969,3,0.3553,3,0.4837,3,0.3798,3,0.5783,3,0.4735
test_00016.png,1,0.5481,3,0.5022,3,0.3201,4,0.3201,3,0.5400,3,0.4222
test_00017.png,4,0.8845,2,0.5318,4,0.6801,2,0.6782,4,0.4760,4,0.5232
test_00018.png,0,0.9723,0,0.9022,0,0.7382,0,0.9171,0,0.9802,0,0.9357
test_00019.png,0,0.7433,0,0.3778,2,0.5647,0,0.6709,0,0.7560,0,0.5647
test_00020.png,0,0.8752,0,0.7834,0,0.4257,0,0.5663,0,0.7894,0,0.7351
test_00021.png,2,0.4259,0,0.3181,2,0.4649,2,0.6143,2,0.4384,2,0.4485
test_00022.png,0,0.9065,0,0.4899,0,0.9273,0,0.9822,0,0.9893,0,0.9405
test_00023.png,3,0.7674,3,0.8031,1,0.4320,1,0.5089,3,0.9072,3,0.6833
test_00024.png,3,0.9582,3,0.7235,3,0.6536,3,0.8918,3,0.9847,3,0.9102
test_00025.png,4,0.5246,4,0.6095,2,0.4287,2,0.7411,2,0.6534,2,0.4961
test_00026.png,4,0.6008,2,0.4322,2,0.4213,2,0.5065,4,0.5500,2,0.4535
test_00027.png,0,0.5345,0,0.5225,3,0.5614,3,0.6588,3,0.4459,3,0.4981
test_00028.png,1,0.9764,4,0.3595,1,0.3901,1,0.6065,4,0.3292,1,0.5984
test_00029.png,0,0.9977,0,0.9525,0,0.9693,0,0.9950,0,0.9907,0,0.9899
test_00030.png,0,0.9932,0,0.9241,0,0.8289,0,0.8514,0,0.9539,0,0.9453
test_00031.png,1,0.6307,1,0.5578,4,0.4740,3,0.3247,1,0.6742,1,0.5185
test_00032.png,0,0.8679,0,0.6524,0,0.4974,0,0.9569,0,0.7344,0,0.7970
test_00033.png,0,0.9746,0,0.7746,0,0.8348,0,0.9796,0,0.8813,0,0.9277
test_00034.png,4,0.4296,2,0.3547,2,0.5082,2,0.7646,2,0.6995,2,0.5411
test_00035.png,0,0.9875,0,0.8455,0,0.8969,0,0.9571,0,0.9354,0,0.9503
test_00036.png,0,0.8860,0,0.9864,0,0.9157,0,0.9881,0,0.9916,0,0.9765
test_00037.png,0,0.9164,3,0.4659,3,0.6173,0,0.5569,3,0.8636,3,0.4538
test_00038.png,0,0.8826,3,0.5515,0,0.6651,0,0.8260,0,0.8458,0,0.7616
